"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Sean Mannion",5000,"Cle@StL 01:00PM ET",0,"StL"
"QB","Johnny Manziel",5000,"Cle@StL 01:00PM ET",13.380,"Cle"
"QB","Taylor Heinicke",5000,"Min@Det 01:00PM ET",0,"Min"
"RB","Todd Gurley",5000,"Cle@StL 01:00PM ET",14.133,"StL"
"RB","Frank Gore",4900,"NO@Ind 01:00PM ET",12.250,"Ind"
"TE","Gary Barnidge",4900,"Cle@StL 01:00PM ET",17.383,"Cle"
"RB","Doug Martin",4900,"TB@Was 01:00PM ET",17.980,"TB"
"TE","Travis Kelce",4900,"Pit@KC 01:00PM ET",14.433,"KC"
"TE","Jason Witten",4800,"Dal@NYG 04:25PM ET",13.620,"Dal"
"RB","LeGarrette Blount",4800,"NYJ@NE 01:00PM ET",14.850,"NE"
"RB","Thomas Rawls",4800,"Sea@SF 08:25PM ET",7.717,"Sea"
"WR","Martavis Bryant",4700,"Pit@KC 01:00PM ET",35.500,"Pit"
"RB","Danny Woodhead",4600,"Oak@SD 04:05PM ET",14.567,"SD"
"RB","Lamar Miller",4600,"Hou@Mia 01:00PM ET",10.920,"Mia"
"RB","Carlos Hyde",4600,"Sea@SF 08:25PM ET",13.383,"SF"
"WR","Anquan Boldin",4500,"Sea@SF 08:25PM ET",13.217,"SF"
"WR","Victor Cruz",4500,"Dal@NYG 04:25PM ET",0,"NYG"
"WR","Tavon Austin",4500,"Cle@StL 01:00PM ET",14.060,"StL"
"TE","Julius Thomas",4500,"Buf@Jax 09:30AM ET",12.400,"Jax"
"RB","T.J. Yeldon",4500,"Buf@Jax 09:30AM ET",12.080,"Jax"
"WR","Kamar Aiken",4400,"Bal@Ari 08:30PM ET",9.250,"Bal"
"WR","Rueben Randle",4400,"Dal@NYG 04:25PM ET",10.850,"NYG"
"WR","Breshad Perriman",4400,"Bal@Ari 08:30PM ET",0,"Bal"
"WR","Andre Johnson",4300,"NO@Ind 01:00PM ET",7.383,"Ind"
"RB","Chris Johnson",4300,"Bal@Ari 08:30PM ET",12.183,"Ari"
"WR","Michael Crabtree",4300,"Oak@SD 04:05PM ET",13.560,"Oak"
"TE","Charles Clay",4300,"Buf@Jax 09:30AM ET",13.067,"Buf"
"RB","Shane Vereen",4300,"Dal@NYG 04:25PM ET",9.750,"NYG"
"RB","Andre Ellington",4300,"Bal@Ari 08:30PM ET",11.100,"Ari"
"WR","Rishard Matthews",4300,"Hou@Mia 01:00PM ET",16.660,"Mia"
"WR","Willie Snead",4300,"NO@Ind 01:00PM ET",12.933,"NO"
"WR","Mike Wallace",4200,"Min@Det 01:00PM ET",10.720,"Min"
"WR","Leonard Hankerson",4200,"Atl@Ten 01:00PM ET",11.017,"Atl"
"WR","Torrey Smith",4200,"Sea@SF 08:25PM ET",10.550,"SF"
"WR","Terrance Williams",4200,"Dal@NYG 04:25PM ET",9.660,"Dal"
"TE","Jordan Reed",4200,"TB@Was 01:00PM ET",14.200,"Was"
"RB","Melvin Gordon",4200,"Oak@SD 04:05PM ET",8.083,"SD"
"RB","Duke Johnson Jr.",4200,"Cle@StL 01:00PM ET",10.817,"Cle"
"WR","Stefon Diggs",4200,"Min@Det 01:00PM ET",18.800,"Min"
"RB","Charcandrick West",4200,"Pit@KC 01:00PM ET",1.933,"KC"
"WR","Doug Baldwin",4100,"Sea@SF 08:25PM ET",11.183,"Sea"
"RB","Rashad Jennings",4000,"Dal@NYG 04:25PM ET",10.417,"NYG"
"RB","Jonathan Stewart",4000,"Phi@Car 08:30PM ET",10.160,"Car"
"RB","Knile Davis",4000,"Pit@KC 01:00PM ET",2.400,"KC"
"RB","Ameer Abdullah",4000,"Min@Det 01:00PM ET",8.867,"Det"
"RB","Karlos Williams",4000,"Buf@Jax 09:30AM ET",14.800,"Buf"
"TE","Delanie Walker",3900,"Atl@Ten 01:00PM ET",13.100,"Ten"
"DST","Seahawks ",3800,"Sea@SF 08:25PM ET",11.833,"Sea"
"RB","Darren Sproles",3800,"Phi@Car 08:30PM ET",8.867,"Phi"
"RB","Isaiah Crowell",3800,"Cle@StL 01:00PM ET",10.067,"Cle"
"WR","Percy Harvin",3700,"Buf@Jax 09:30AM ET",9.980,"Buf"
"WR","Kenny Britt",3700,"Cle@StL 01:00PM ET",7.660,"StL"
"WR","Jamison Crowder",3700,"TB@Was 01:00PM ET",8.933,"Was"
